EDAD,P8_4_2,SEXO,subconjunto
29,1.0,1,Submuestra 1
65,2.0,1,Submuestra 1
63,1.0,1,Submuestra 1
72,2.0,1,Submuestra 1
19,1.0,1,Submuestra 1
49,2.0,1,Submuestra 1
26,1.0,1,Submuestra 1
17,1.0,1,Submuestra 1
65,1.0,1,Submuestra 1
68,2.0,1,Submuestra 1
24,1.0,1,Submuestra 1
39,1.0,1,Submuestra 1
40,1.0,1,Submuestra 1
36,1.0,1,Submuestra 1
30,1.0,1,Submuestra 1
44,2.0,1,Submuestra 1
21,1.0,1,Submuestra 1
29,1.0,1,Submuestra 1
30,1.0,1,Submuestra 1
17,1.0,1,Submuestra 1
26,1.0,1,Submuestra 1
24,1.0,1,Submuestra 1
73,2.0,1,Submuestra 1
27,1.0,1,Submuestra 1
31,1.0,1,Submuestra 1
17,1.0,1,Submuestra 1
36,1.0,1,Submuestra 1
39,1.0,1,Submuestra 1
50,1.0,1,Submuestra 1
12,1.0,1,Submuestra 1
30,1.0,1,Submuestra 1
70,1.0,1,Submuestra 1
18,1.0,1,Submuestra 1
11,1.0,1,Submuestra 1
30,1.0,1,Submuestra 1
24,1.0,1,Submuestra 1
23,1.0,1,Submuestra 1
30,1.0,1,Submuestra 1
74,1.0,1,Submuestra 1
8,1.0,1,Submuestra 1
31,1.0,1,Submuestra 1
17,1.0,1,Submuestra 1
45,1.0,1,Submuestra 1
28,1.0,1,Submuestra 1
35,1.0,1,Submuestra 1
37,1.0,1,Submuestra 2
42,1.0,1,Submuestra 2
26,2.0,1,Submuestra 2
40,1.0,1,Submuestra 2
71,2.0,1,Submuestra 2
38,1.0,1,Submuestra 2
10,1.0,1,Submuestra 2
37,1.0,1,Submuestra 2
10,1.0,1,Submuestra 2
14,1.0,1,Submuestra 2
13,1.0,1,Submuestra 2
12,1.0,1,Submuestra 2
16,1.0,1,Submuestra 2
45,1.0,1,Submuestra 2
46,1.0,1,Submuestra 2
34,1.0,1,Submuestra 2
28,1.0,1,Submuestra 2
14,1.0,1,Submuestra 2
57,1.0,1,Submuestra 2
14,2.0,1,Submuestra 2
55,1.0,1,Submuestra 2
37,1.0,1,Submuestra 2
7,1.0,1,Submuestra 2
77,1.0,1,Submuestra 2
10,1.0,1,Submuestra 2
28,1.0,1,Submuestra 2
56,2.0,1,Submuestra 2
19,1.0,1,Submuestra 2
35,1.0,1,Submuestra 2
18,1.0,1,Submuestra 2
17,1.0,1,Submuestra 2
35,1.0,1,Submuestra 2
54,1.0,1,Submuestra 2
55,1.0,1,Submuestra 2
46,1.0,1,Submuestra 2
57,1.0,1,Submuestra 2
53,1.0,1,Submuestra 2
13,1.0,1,Submuestra 2
39,1.0,1,Submuestra 2
44,1.0,1,Submuestra 2
37,1.0,1,Submuestra 2
81,1.0,1,Submuestra 2
24,1.0,1,Submuestra 3
27,1.0,1,Submuestra 3
23,1.0,1,Submuestra 3
40,1.0,1,Submuestra 3
73,1.0,1,Submuestra 3
69,1.0,1,Submuestra 3
23,1.0,1,Submuestra 3
41,1.0,1,Submuestra 3
13,1.0,1,Submuestra 3
64,2.0,1,Submuestra 3
32,1.0,1,Submuestra 3
51,1.0,1,Submuestra 3
47,1.0,1,Submuestra 3
37,1.0,1,Submuestra 3
24,1.0,1,Submuestra 3
31,2.0,1,Submuestra 3
25,1.0,1,Submuestra 3
20,1.0,1,Submuestra 3
37,1.0,1,Submuestra 3
72,1.0,1,Submuestra 3
54,1.0,1,Submuestra 3
29,1.0,1,Submuestra 3
77,1.0,1,Submuestra 3
40,1.0,1,Submuestra 3
66,1.0,1,Submuestra 3
29,1.0,1,Submuestra 3
24,1.0,1,Submuestra 3
14,1.0,1,Submuestra 3
10,1.0,1,Submuestra 3
29,1.0,1,Submuestra 3
48,2.0,1,Submuestra 3
25,1.0,1,Submuestra 3
60,2.0,1,Submuestra 3
41,1.0,1,Submuestra 3
36,1.0,1,Submuestra 3
51,1.0,1,Submuestra 3
41,1.0,1,Submuestra 3
10,1.0,1,Submuestra 3
62,2.0,1,Submuestra 3
42,1.0,1,Submuestra 3
41,1.0,1,Submuestra 3
48,1.0,1,Submuestra 3
40,1.0,1,Submuestra 3
17,1.0,1,Submuestra 3
